what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1394586092373
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1394586092374
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1394586092375
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1394586092376
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1394586092377
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1394586092378
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1394586092379
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1394586092380
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1394586092380
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1394586092380
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1394586092381
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1394586092382
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1394586092429
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1394586092430
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1394586092481
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1394586092482
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1394586092483
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1394586092560
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1394586092561
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1394586092562
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394586092565
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1394586092633
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1394586092635
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1394586092636
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1394586092637
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1394586092637
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1394586092638
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1394586092668
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1394586092669
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1394586092669
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1394586092670
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1394586092671
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1394586092672
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394586092672
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394586092757
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394586092758
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1394586092759
started,bundle,jp.gr.java_conf.ussiy.app.propedit,6.0.0,"jp.gr.java_conf.ussiy.app.propedit",1394586092759
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120316-1700,"org.eclipse.team.svn.core",1394586092759
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1394586092760
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120316-1700,"org.eclipse.team.svn.ui",1394586092809
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.3.0.I20120316-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1394586092851
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1394586092851
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1394586092873
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1394586092873
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1394586092874
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1394586092875
os,sysinfo,,,"win32",1394586092879
arch,sysinfo,,,"x86",1394586092879
ws,sysinfo,,,"win32",1394586092879
locale,sysinfo,,,"zh_CN",1394586092879
processors,sysinfo,,,"2",1394586092879
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394586092879
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1394586092879
java.specification.name,sysinfo,,,"Java Platform API Specification",1394586092879
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394586092879
java.specification.version,sysinfo,,,"1.7",1394586092879
java.vendor,sysinfo,,,"Oracle Corporation",1394586092879
java.version,sysinfo,,,"1.7.0_45",1394586092879
java.vm.info,sysinfo,,,"mixed mode",1394586092879
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394586092879
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394586092879
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394586092879
java.vm.specification.version,sysinfo,,,"1.7",1394586092879
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394586092879
java.vm.version,sysinfo,,,"24.45-b08",1394586092879
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1394586093765
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1394586094834
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1394586095330
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1394586095611
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1394586095616
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1394586095645
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394586095699
